,status,distance,duration,geometry,type
81,Ok,4190.4,1103.2,"[[-73.986693, 40.730516], [-73.986293, 40.730347], [-73.990799, 40.724182], [-73.992864, 40.719891], [-73.990519, 40.719063], [-73.992857, 40.714674], [-73.99182, 40.709583], [-73.998185, 40.708629], [-74.001803, 40.706481], [-74.002096, 40.706568], [-74.003812, 40.70576], [-74.006877, 40.703791], [-74.006685, 40.703576]]",LineString
82,Ok,2631.4,682,"[[-73.990663, 40.725076], [-73.988072, 40.723986], [-73.984978, 40.728237], [-73.990503, 40.730557], [-73.989868, 40.733528], [-73.999975, 40.737777]]",LineString
83,Ok,2316.3,609.6,"[[-74.007122, 40.732947], [-74.007515, 40.732871], [-74.007344, 40.733588], [-73.998873, 40.734839], [-73.984546, 40.728827], [-73.984112, 40.72942], [-73.984296, 40.729498]]",LineString
84,Ok,2446.8,683.8,"[[-74.006671, 40.719093], [-74.006435, 40.719069], [-74.006586, 40.718873], [-74.005361, 40.718299], [-74.005172, 40.719019], [-74.00522, 40.720639], [-73.997358, 40.729944], [-73.996569, 40.729563], [-73.991951, 40.734901]]",LineString
85,Ok,2847.5,752.8,"[[-73.960541, 40.798256], [-73.961474, 40.798645], [-73.958674, 40.802464], [-73.957246, 40.801865], [-73.9535, 40.806981], [-73.942997, 40.802557], [-73.941167, 40.805063], [-73.93968, 40.804445], [-73.939619, 40.804528]]",LineString
86,Ok,1282.4,375.1,"[[-74.007189, 40.70865], [-74.006021, 40.707905], [-74.005482, 40.707387], [-74.00647, 40.706993], [-74.006724, 40.706781], [-74.008202, 40.705275], [-74.010637, 40.70371], [-74.011583, 40.703519], [-74.01155, 40.704991], [-74.011669, 40.704965], [-74.013317, 40.705045], [-74.013276, 40.704588], [-74.013618, 40.704596]]",LineString
87,Ok,3000.7,800.5,"[[-73.996643, 40.763457], [-73.996457, 40.763378], [-73.997384, 40.762122], [-73.991602, 40.759694], [-73.993473, 40.757102], [-73.986886, 40.754331], [-73.987523, 40.752184], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.988195, 40.74829], [-73.981969, 40.745683]]",LineString
88,Ok,2039.8,625.3,"[[-73.970363, 40.753179], [-73.969902, 40.752983], [-73.979423, 40.739743], [-73.977238, 40.738833], [-73.977705, 40.738215], [-73.977441, 40.738104]]",LineString
89,Ok,1446.8,473.3,"[[-73.976269, 40.717862], [-73.976915, 40.718047], [-73.976991, 40.718129], [-73.977662, 40.718312], [-73.978215, 40.717525], [-73.978313, 40.717206], [-73.978239, 40.716926], [-73.977875, 40.716503], [-73.977707, 40.71612], [-73.977917, 40.715649], [-73.98281, 40.717137], [-73.983207, 40.717196], [-73.985437, 40.717847], [-73.985578, 40.7179], [-73.98565, 40.717971], [-73.986648, 40.716066], [-73.986943, 40.715572]]",LineString
90,Ok,1631.9,452.9,"[[-73.988591, 40.746205], [-73.989159, 40.743042], [-73.988648, 40.742817], [-73.995489, 40.733437], [-73.995127, 40.733284]]",LineString
91,Ok,1087.8,324.1,"[[-73.974517, 40.743201], [-73.974181, 40.74306], [-73.974122, 40.743139], [-73.976276, 40.744066], [-73.979423, 40.739743], [-73.977238, 40.738833], [-73.976805, 40.739445]]",LineString
92,Ok,2392.4,638.9,"[[-73.980266, 40.754101], [-73.989296, 40.757912], [-73.984269, 40.764798], [-73.978601, 40.762396], [-73.97814, 40.763023], [-73.97834, 40.763107]]",LineString
93,Ok,3302.5,881.4,"[[-73.990981, 40.730187], [-73.99041, 40.731002], [-73.989868, 40.733528], [-74.0024, 40.738744], [-74.00277, 40.739365], [-73.99755, 40.74658], [-74.003236, 40.748974], [-74.00232, 40.75022], [-74.002194, 40.750169]]",LineString
94,Ok,1595.7,441.4,"[[-73.987754, 40.750989], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.989159, 40.743042], [-73.988648, 40.742817], [-73.988894, 40.742473], [-73.989766, 40.739176], [-73.987545, 40.73824]]",LineString
